,tucaseid,erbmi,erincome,ertpreat,ertseat,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eusnap,eugenhth,eugroshp,euhgt,euinclvl,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,bmi_class
19736,20151009151607,27.8,1.0,25.0,5.0,,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,70,6,1.0,2.0,1.0,2.0,1.0,6.0,2.0,194,1
19737,20151009151610,28.3,2.0,,20.0,,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,60,6,1.0,2.0,1.0,,1.0,2.0,2.0,145,1
19738,20151009151611,28.3,1.0,,60.0,,2.0,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,1.0,1.0,62,6,2.0,2.0,1.0,,2.0,4.0,,155,1
19739,20151009151613,25.1,1.0,140.0,,,1.0,2.0,1.0,2.0,2.0,,,1.0,2.0,1.0,1.0,67,6,1.0,2.0,1.0,2.0,1.0,2.0,2.0,160,1
19740,20151009151617,30.0,3.0,75.0,5.0,,2.0,1.0,1.0,7.0,2.0,,,1.0,2.0,1.0,1.0,64,6,1.0,2.0,1.0,,1.0,1.0,2.0,175,1
19741,20151009151620,22.4,1.0,60.0,15.0,,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,2.0,1.0,73,6,1.0,2.0,1.0,,5.0,3.0,2.0,170,1
19742,20151009151628,23.6,1.0,150.0,,,1.0,2.0,1.0,5.0,2.0,,,1.0,2.0,2.0,1.0,68,7,2.0,2.0,1.0,2.0,1.0,2.0,,155,1
19743,20151009151629,28.6,5.0,15.0,,,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,69,6,,,2.0,2.0,,,,194,1
19744,20151009151630,28.0,5.0,90.0,5.0,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,5.0,1.0,70,6,1.0,2.0,1.0,2.0,1.0,2.0,2.0,195,1
19745,20151009151633,31.3,1.0,60.0,,2.0,1.0,2.0,2.0,,2.0,,,1.0,2.0,3.0,2.0,67,7,,,2.0,1.0,,,,200,2
19746,20151009151636,23.0,5.0,5.0,,,2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,70,6,1.0,2.0,1.0,,1.0,2.0,2.0,160,1
19747,20151009151646,26.5,1.0,120.0,,,2.0,2.0,2.0,,2.0,,,1.0,2.0,4.0,2.0,59,6,,,2.0,,,,,131,1
19748,20151009151650,35.0,1.0,60.0,15.0,2.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,3.0,2.0,68,6,,,2.0,1.0,,,,230,2
19749,20151009151653,26.7,5.0,90.0,,,1.0,2.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,59,7,1.0,2.0,1.0,2.0,2.0,1.0,2.0,132,1
19750,20151009151655,22.9,2.0,15.0,2.0,,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,66,6,1.0,2.0,1.0,,2.0,1.0,2.0,142,1
19751,20151009151662,24.2,5.0,40.0,20.0,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,59,7,1.0,2.0,1.0,2.0,1.0,1.0,1.0,120,1
19752,20151009151664,27.4,1.0,5.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,66,6,,,2.0,1.0,1.0,2.0,,170,1
19753,20151009151667,20.5,1.0,10.0,475.0,,1.0,1.0,1.0,6.0,2.0,,,1.0,2.0,1.0,1.0,68,6,1.0,2.0,1.0,2.0,1.0,1.0,2.0,135,1
19754,20151009151675,23.2,5.0,55.0,,,2.0,,2.0,,2.0,,,1.0,2.0,3.0,1.0,62,6,1.0,2.0,1.0,,1.0,2.0,2.0,127,1
19755,20151009151681,22.0,1.0,45.0,10.0,,1.0,1.0,1.0,4.0,2.0,,,1.0,2.0,2.0,1.0,64,6,1.0,2.0,1.0,2.0,1.0,2.0,1.0,128,1
19756,20151009151691,23.5,3.0,70.0,,,2.0,2.0,1.0,4.0,2.0,,,1.0,2.0,2.0,1.0,67,6,1.0,2.0,1.0,,1.0,3.0,2.0,150,1
19757,20151009151693,28.9,1.0,50.0,15.0,,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,68,6,1.0,2.0,1.0,,1.0,2.0,2.0,190,1
19758,20151009151698,30.0,5.0,90.0,10.0,,2.0,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,4.0,1.0,65,6,1.0,2.0,1.0,,1.0,2.0,2.0,180,1
19759,20151009151701,17.2,1.0,50.0,3.0,,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,64,6,1.0,2.0,1.0,2.0,1.0,2.0,2.0,100,1
19760,20151009151703,24.4,1.0,105.0,,,2.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,74,6,,,2.0,,,,,190,1
19761,20151009151705,18.6,2.0,105.0,10.0,,2.0,1.0,2.0,,2.0,,,1.0,2.0,4.0,2.0,66,6,1.0,1.0,1.0,,,,2.0,115,1
19762,20151009151709,30.8,1.0,15.0,3.0,,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,2.0,3.0,1.0,70,6,2.0,2.0,1.0,,1.0,2.0,,215,2
19763,20151009151710,43.8,3.0,,20.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,2.0,5.0,1.0,67,7,1.0,2.0,1.0,1.0,2.0,1.0,2.0,280,2
19764,20151009151719,29.9,1.0,35.0,30.0,2.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,4.0,1.0,66,6,1.0,2.0,1.0,1.0,3.0,1.0,2.0,185,1
19765,20151009151721,31.2,5.0,60.0,,,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,61,6,,,2.0,,1.0,2.0,,165,2
19766,20151009151724,23.0,1.0,45.0,5.0,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,70,6,,,2.0,,,,,160,1
19767,20151009151728,26.7,5.0,30.0,,,1.0,2.0,1.0,7.0,2.0,,,1.0,2.0,4.0,2.0,56,6,1.0,2.0,1.0,2.0,,,2.0,119,1
19768,20151009151731,23.0,1.0,45.0,10.0,,1.0,1.0,1.0,5.0,2.0,,,1.0,2.0,2.0,1.0,63,6,1.0,2.0,1.0,2.0,1.0,4.0,2.0,130,1
19769,20151009151741,34.0,1.0,50.0,,,2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,69,6,1.0,2.0,3.0,,2.0,4.0,1.0,230,2
19770,20151009151743,22.0,1.0,70.0,,,1.0,2.0,1.0,7.0,2.0,,,1.0,2.0,3.0,3.0,70,6,1.0,2.0,3.0,2.0,1.0,2.0,2.0,153,1
19771,20151009151744,25.8,1.0,20.0,10.0,,1.0,1.0,1.0,3.0,2.0,,,1.0,2.0,1.0,2.0,72,6,,,2.0,2.0,,,,190,1
19772,20151009151747,21.8,1.0,30.0,20.0,,2.0,1.0,1.0,4.0,2.0,,,1.0,2.0,2.0,2.0,66,6,,,2.0,,,,,135,1
19773,20151009151748,30.7,1.0,10.0,,,2.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,66,6,1.0,2.0,1.0,,2.0,1.0,2.0,190,2
19774,20151009151752,25.8,1.0,150.0,,2.0,1.0,2.0,2.0,,2.0,,,3.0,2.0,4.0,1.0,71,6,2.0,2.0,1.0,1.0,1.0,2.0,,185,1
19775,20151009151753,26.4,1.0,105.0,,,2.0,2.0,1.0,7.0,2.0,,,1.0,2.0,3.0,1.0,72,6,,,2.0,,1.0,2.0,,195,1
19776,20151009151758,27.8,3.0,65.0,5.0,,2.0,1.0,1.0,1.0,2.0,,,1.0,2.0,4.0,3.0,69,6,,,2.0,,2.0,1.0,,188,1
19777,20151009151759,20.2,2.0,60.0,30.0,,1.0,1.0,2.0,,2.0,,,1.0,2.0,3.0,1.0,66,7,1.0,2.0,1.0,2.0,2.0,1.0,1.0,125,1
19778,20151009151761,24.8,1.0,65.0,5.0,,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,59,6,1.0,2.0,3.0,,2.0,1.0,2.0,123,1
19779,20151009151766,25.7,1.0,80.0,20.0,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,64,6,,,2.0,2.0,1.0,2.0,,150,1
19780,20151009151770,31.4,3.0,50.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,73,6,,,2.0,2.0,,,,238,2
19781,20151009151771,35.9,1.0,75.0,5.0,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,61,6,,,2.0,2.0,,,,190,2
19782,20151009151774,34.5,1.0,120.0,,,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,67,7,,,2.0,2.0,,,,220,2
19783,20151009151776,30.0,1.0,55.0,,,2.0,2.0,1.0,3.0,2.0,,,1.0,2.0,4.0,2.0,71,6,,,2.0,,,,,215,1
19784,20151009151777,26.6,1.0,30.0,,,2.0,2.0,1.0,5.0,2.0,,,1.0,2.0,1.0,1.0,65,6,1.0,2.0,1.0,,2.0,1.0,2.0,160,1
19785,20151009151782,32.6,5.0,60.0,,,1.0,2.0,1.0,7.0,2.0,,,1.0,1.0,3.0,1.0,66,6,1.0,2.0,1.0,2.0,1.0,3.0,2.0,202,2
19786,20151009151784,31.8,3.0,60.0,,,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,4.0,1.0,64,6,1.0,2.0,1.0,,2.0,4.0,2.0,185,2
